Band,Capture,Channel,PeakToPeakV,PositivePeakV,NegativePeakV,MaximumAbsoluteV,ThresholdV,SamplesAtOrBeyondThreshold,ThresholdFraction,AutoSaturated,FinalSaturated,DecisionSource,Reason
1kHzto10kHz_20ms_2.5ms_div,ALL0003_F0003,1,1.14,0.7,-0.44,0.7,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
1kHzto10kHz_20ms_2.5ms_div,ALL0003_F0003,2,4,2.12,-1.88,2.12,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
1kHzto10kHz_20ms_2.5ms_div,ALL0003_F0003,3,1.04,0.7,-0.34,0.7,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
1kHzto10kHz_20ms_2.5ms_div,ALL0003_F0003,4,0.056,0.136,0.08,0.136,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
1kHzto10kHz_20ms_2.5ms_div,ALL0004_F0004,1,0.7,0.48,-0.22,0.48,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
1kHzto10kHz_20ms_2.5ms_div,ALL0004_F0004,2,0.04,0.04,0,0.04,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
1kHzto10kHz_20ms_2.5ms_div,ALL0004_F0004,3,0.18,0.3,0.12,0.3,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
1kHzto10kHz_20ms_2.5ms_div,ALL0004_F0004,4,0.504,0.36,-0.144,0.36,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
5kHzto50kHz_4ms_500us_div,ALL0001_F0001,1,3,1.52,-1.48,1.52,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
5kHzto50kHz_4ms_500us_div,ALL0001_F0001,2,4.48,2.28,-2.2,2.28,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
5kHzto50kHz_4ms_500us_div,ALL0001_F0001,3,1.6,0.82,-0.78,0.82,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
5kHzto50kHz_4ms_500us_div,ALL0001_F0001,4,0.12,0.08,-0.04,0.08,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
5kHzto50kHz_4ms_500us_div,ALL0002_F0002,1,1.74,0.88,-0.86,0.88,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
5kHzto50kHz_4ms_500us_div,ALL0002_F0002,2,3.64,2.04,-1.6,2.04,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
5kHzto50kHz_4ms_500us_div,ALL0002_F0002,3,1.088,0.568,-0.52,0.568,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
5kHzto50kHz_4ms_500us_div,ALL0002_F0002,4,0.138,0.074,-0.064,0.074,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
5kHzto50kHz_4ms_500us_div,ALL0003_F0003,1,2.06,1.06,-1,1.06,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
5kHzto50kHz_4ms_500us_div,ALL0003_F0003,2,4.04,1.92,-2.12,2.12,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
5kHzto50kHz_4ms_500us_div,ALL0003_F0003,3,1.248,0.568,-0.68,0.68,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
5kHzto50kHz_4ms_500us_div,ALL0003_F0003,4,0.142,0.08,-0.062,0.08,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
5kHzto50kHz_4ms_500us_div,ALL0004_F0004,1,2.38,1.36,-1.02,1.36,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
5kHzto50kHz_4ms_500us_div,ALL0004_F0004,2,4.48,2.24,-2.24,2.24,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
