Band,Capture,Stage,Used,ExclusionReason,LinearSubsamples,RetainedSweepFraction
50Hzto500Hz_400ms_50ms_div,XD_ALL0002_F0002,LP,1,"usada completa",1,1
50Hzto500Hz_400ms_50ms_div,XD_ALL0002_F0002,LP_PGA,1,"usada completa",1,1
50Hzto500Hz_400ms_50ms_div,Osciloscopio_ALL0000_F0000,BP,1,"usada completa",1,1
50Hzto500Hz_400ms_50ms_div,Osciloscopio_ALL0000_F0000,COMP,0,"omitida: campaña histórica sólo para BP/LP",0,0
50Hzto500Hz_400ms_50ms_div,Osciloscopio_ALL0000_F0000,LP,1,"usada completa",1,1
50Hzto500Hz_400ms_50ms_div,Osciloscopio_ALL0000_F0000,LP_PGA,0,"omitida: campaña histórica sólo para BP/LP",0,0
50Hzto500Hz_400ms_50ms_div,Osciloscopio_calibracion_2026-07-21_ALL0001_F0001,BP,0,"descartada: saturación de CH2 sin tramo lineal suficiente",0,0.0108636610537751
50Hzto500Hz_400ms_50ms_div,Osciloscopio_calibracion_2026-07-21_ALL0001_F0001,COMP,0,"omitida: campaña histórica sólo para BP/LP",0,0
50Hzto500Hz_400ms_50ms_div,Osciloscopio_calibracion_2026-07-21_ALL0001_F0001,LP,1,"usada parcialmente: 1 submuestra(s), 17.2% del sweep lineal; saturación CH4",1,0.171645844649647
50Hzto500Hz_400ms_50ms_div,Osciloscopio_calibracion_2026-07-21_ALL0001_F0001,LP_PGA,0,"omitida: campaña histórica sólo para BP/LP",0,0
50Hzto500Hz_400ms_50ms_div,Osciloscopio_calibracion_2026-07-21_ALL0002_F0002,BP,1,"usada completa",1,1
50Hzto500Hz_400ms_50ms_div,Osciloscopio_calibracion_2026-07-21_ALL0002_F0002,COMP,0,"omitida: campaña histórica sólo para BP/LP",0,0
50Hzto500Hz_400ms_50ms_div,Osciloscopio_calibracion_2026-07-21_ALL0002_F0002,LP,1,"usada parcialmente: 1 submuestra(s), 34.6% del sweep lineal; saturación CH4",1,0.346007604562738
50Hzto500Hz_400ms_50ms_div,Osciloscopio_calibracion_2026-07-21_ALL0002_F0002,LP_PGA,0,"omitida: campaña histórica sólo para BP/LP",0,0
50Hzto500Hz_400ms_50ms_div,Osciloscopio_calibracion_2026-07-21_ALL0003_F0003,BP,1,"usada completa",1,1
50Hzto500Hz_400ms_50ms_div,Osciloscopio_calibracion_2026-07-21_ALL0003_F0003,COMP,0,"omitida: campaña histórica sólo para BP/LP",0,0
50Hzto500Hz_400ms_50ms_div,Osciloscopio_calibracion_2026-07-21_ALL0003_F0003,LP,1,"usada parcialmente: 1 submuestra(s), 64.1% del sweep lineal; saturación CH4",1,0.640956002172732
