Band,Capture,Channel,PeakToPeakV,PositivePeakV,NegativePeakV,MaximumAbsoluteV,ThresholdV,SamplesAtOrBeyondThreshold,ThresholdFraction,AutoSaturated,FinalSaturated,DecisionSource,Reason
10Hzto100Hz_2s_250ms_div,Osciloscopio_calibracion_2026-07-21_ALL0003_F0003,2,3.8,2.08,-1.72,2.08,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,Osciloscopio_calibracion_2026-07-21_ALL0003_F0003,3,1.14,0.72,-0.42,0.72,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,Osciloscopio_calibracion_2026-07-21_ALL0003_F0003,4,4.72,2.44,-2.28,2.44,2.3,478,0.26540810660744,1,1,automático,|V| >= 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,XD_ALL0000_F0000,1,3.24,1.64,-1.6,1.64,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,XD_ALL0000_F0000,2,3.6,1.88,-1.72,1.88,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,XD_ALL0000_F0000,3,0.286,0.14,-0.146,0.146,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,XD_ALL0000_F0000,4,0.88,0.508,-0.372,0.508,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,XD_ALL0001_F0001,1,3.24,1.64,-1.6,1.64,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,XD_ALL0001_F0001,2,3.68,1.92,-1.76,1.92,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,XD_ALL0001_F0001,3,0.244,0.132,-0.112,0.132,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,XD_ALL0001_F0001,4,0.776,0.392,-0.384,0.392,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,XD_ALL0002_F0002,1,3.28,1.72,-1.56,1.72,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,XD_ALL0002_F0002,2,3.64,1.92,-1.72,1.92,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,XD_ALL0002_F0002,3,0.272,0.11,-0.162,0.162,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,XD_ALL0002_F0002,4,0.784,0.752,-0.032,0.752,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,Osciloscopio_ALL0000_F0000,1,1.16,0.68,-0.48,0.68,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,Osciloscopio_ALL0000_F0000,2,1.48,0.92,-0.56,0.92,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,Osciloscopio_ALL0000_F0000,3,0.76,0.4,-0.36,0.4,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,Osciloscopio_ALL0000_F0000,4,1.6,1.12,-0.48,1.12,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
